Tuition fees up to date,Course,Age at enrollment,Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,9254,18,6,6,12.66666667,6,7,5,14.6,3
0,9070,18,10,5,12.2,6,11,4,10.83333333,2
0,9085,28,9,1,12,4,10,0,0,1
1,9500,18,12,7,11.72142857,8,12,7,11.72142857,3
1,9500,27,12,4,14,7,14,3,12.525,2
1,33,26,9,7,14.75,7,12,5,13.8,2
1,9773,18,6,6,12.66666667,6,6,6,13.66666667,3
1,9130,18,12,4,13,5,6,5,14,1
1,9147,21,6,0,0,5,5,0,0,1
1,9070,18,8,4,10.75,6,9,0,0,2
0,8014,32,5,0,0,5,10,0,0,1
1,9670,28,6,4,12.5,5,7,4,11.75,3
0,9991,40,4,0,0,5,0,0,0,1
0,8014,39,5,0,0,4,4,0,0,1
0,9238,39,0,0,0,6,0,0,0,1
1,9003,50,7,6,12.5,6,15,5,12.4,3
1,9853,23,10,5,12.8,6,9,3,11.66666667,1
1,8014,48,11,1,10,6,11,1,11,1
1,9853,23,11,4,11.25,6,10,5,10.2,1
1,9500,18,8,7,12.61,8,8,7,12.61,3
1,9130,18,14,2,12,5,6,5,12.6,3
0,9238,20,9,5,13,6,7,6,13.5,3
1,9085,18,9,4,12,5,8,5,13,3
1,9556,18,8,4,12,8,8,0,0,1
1,9119,31,12,1,12,5,9,1,11,1
1,9119,24,9,1,12,5,6,3,10.5,2
1,171,24,0,0,0,0,0,0,0,3
0,9147,26,5,0,0,5,9,0,0,1
1,9130,18,11,5,13.625,6,9,4,11.75,1
1,9147,19,12,3,11.66666667,5,10,3,11.66666667,2
1,9670,22,0,0,0,6,0,0,0,1
1,9500,18,8,7,11.69,8,8,7,11.69,3
0,9070,20,11,0,0,6,12,0,0,1
1,171,25,0,0,0,0,0,0,0,3
1,9991,24,10,4,11.5,5,11,5,11.28571429,3
1,9119,27,10,1,14,5,0,0,0,1
1,9254,21,7,5,11,6,7,5,12.4,3
1,9003,21,7,6,12.85714286,6,6,6,13.16666667,3
1,9773,19,9,4,12.5,6,6,6,11.33333333,1
1,9500,28,7,7,14.52857143,8,11,8,15.01818182,3
1,9147,20,8,5,10,5,10,2,12,2
1,9003,21,8,6,13,6,10,6,12.625,3
1,9500,18,7,7,15.95714286,8,9,8,15.18888889,3
1,9119,18,6,5,13.2,5,8,5,12.6,2
1,9147,20,9,4,10.2,5,6,3,11,2
1,9119,25,6,5,14.2,5,5,2,13.5,2
1,9670,22,8,6,12.625,6,11,2,14.5,2
1,9500,18,11,6,13.49666667,8,11,6,13.49666667,2
1,9147,19,8,5,13.25,5,8,5,11,3
1,9119,19,12,3,12,5,10,3,12,1
0,9773,25,10,4,13,6,9,4,13.75,1
1,9070,21,12,9,11.77777778,8,11,3,13.66666667,1
1,9119,19,10,2,11,6,10,0,0,1
1,9147,20,14,0,0,5,5,0,0,1
1,9003,25,16,14,12.42857143,9,13,6,10.85714286,1
1,9147,20,8,3,11,5,11,3,12,2
1,171,18,0,0,0,0,0,0,0,3
1,9254,23,12,3,11.5,6,12,3,10.66666667,2
1,9500,23,8,8,12.5075,8,8,8,12.5075,3
1,9003,21,18,11,12.09090909,12,14,11,12,3
1,9130,20,14,2,11,5,9,3,12.66666667,2
1,9991,25,13,1,10,5,8,2,11.33333333,1
1,9130,18,6,6,13.5,6,9,5,13.2,3
1,9070,22,6,6,14.16666667,6,8,6,13.625,3
1,9670,27,7,6,14,6,7,6,14.71428571,3
1,9003,25,4,0,0,3,5,0,0,1
1,9119,18,9,3,11.66666667,5,10,3,11.33333333,1
1,9085,20,7,5,14.6,5,5,5,14.2,3
1,9003,27,10,5,13,6,13,5,11.5,3
1,8014,20,7,6,12.16666667,6,9,6,12,3
1,9147,22,9,0,0,5,5,1,12,1
1,9119,19,10,3,10.5,5,11,3,10.8,1
1,9147,20,14,3,12.4,5,8,5,10.83333333,2
1,171,19,0,0,0,0,0,0,0,3
0,9085,29,12,0,0,5,8,0,0,1
1,9500,19,8,7,13.82857143,8,8,7,13.82857143,3
1,9991,28,7,5,10.6,5,6,5,10.2,2
1,9238,20,7,6,11.5,6,6,6,11.66666667,3
1,9070,20,6,4,13.5,6,8,6,13.625,3
1,8014,31,12,0,0,6,0,0,0,1
1,9500,18,8,7,12.5375,8,9,7,12.61428571,3
1,9670,19,6,6,14.83333333,6,8,6,13.28571429,2
1,9147,18,10,4,12,5,9,4,12.8,3
1,9254,19,8,5,11.8,6,8,5,11.6,3
1,9147,18,5,5,15,5,5,5,15.2,3
1,9085,19,7,3,12,5,7,5,13.2,3
1,9773,18,6,6,12.83333333,6,7,6,12.28571429,3
1,9254,19,12,6,11.66666667,6,14,3,12,3
1,9556,19,9,7,12.1625,8,8,8,13.825,3
1,9670,18,6,6,13.83333333,6,11,6,14.55555556,3
1,9500,19,12,4,12.45,7,11,5,11.7,2
1,9670,20,9,6,12.125,6,7,6,13.57142857,3
1,9670,20,8,5,13.4,6,10,4,13,2
1,9003,20,8,6,13.33333333,6,8,5,14,2
1,9991,29,15,11,11.45454545,13,16,11,11.54545455,1
0,9853,20,10,4,12,6,14,3,10,1
0,9853,31,8,6,12.66666667,7,9,5,12.6,1
1,9670,20,7,6,12.66666667,6,9,6,13.77777778,3
1,9003,21,22,18,11.88888889,13,13,13,11.46153846,3
1,9130,23,0,0,0,6,0,0,0,1
0,9070,21,6,4,13,6,8,4,11.6,1
1,9500,24,7,7,16.88571429,8,9,8,15.74444444,3
1,8014,27,6,6,12.5,6,6,6,12.33333333,3
1,9500,18,9,7,13.05555556,8,8,8,15.8125,3
0,171,21,0,0,0,0,0,0,0,1
1,9130,19,7,0,0,5,5,0,0,1
1,9500,19,8,7,12.35571429,8,8,7,12.35571429,3
1,9085,18,0,0,0,6,0,0,0,1
1,9500,18,8,5,11.98,7,8,5,11.98,2
1,9853,20,7,7,13.85714286,7,8,7,12.57142857,3
1,8014,24,9,5,13,6,6,6,14.16666667,3
1,9070,20,6,6,12.83333333,6,10,6,11.16666667,3
1,9147,20,11,4,11,5,7,5,13.2,2
1,9500,19,8,7,12.35714286,8,8,7,12.35714286,3
1,9500,18,8,7,13.85714286,8,8,7,13.85714286,3
1,9238,20,6,6,12.33333333,6,6,6,10.66666667,3
1,9500,20,8,7,12.84714286,8,10,8,13.78888889,3
1,9500,19,9,6,12.34,8,9,8,13.01875,3
1,9085,19,10,5,12.66666667,6,19,4,11.75,2
1,9773,20,6,6,13.83333333,6,6,6,12.5,3
1,9147,19,15,2,10.75,5,11,2,10,1
1,9853,19,11,4,13.25,6,10,4,10.25,1
1,9500,18,8,8,13.73125,8,8,8,13.73125,3
1,9070,23,6,6,13.33333333,6,8,3,12.66666667,1
1,9853,21,8,5,12,6,9,5,10.8,1
1,8014,23,10,9,10.88888889,8,10,6,11.33333333,3
1,9500,19,8,7,13.025,8,9,8,13.81111111,3
1,9773,18,6,6,13,6,6,6,14.16666667,3
1,9773,19,10,5,11.8,6,10,5,12,3
1,9500,25,8,7,12.04285714,8,8,7,12.04285714,3
1,9853,19,9,5,12.2,6,10,4,13,2
1,9500,19,8,7,12.8375,8,8,8,15.5,3
1,9556,24,13,7,11,8,13,7,11.7,3
1,9670,18,7,6,13.5,6,9,5,14,3
1,9238,19,8,6,12.125,6,7,6,12.71428571,3
1,9500,18,12,7,12.62857143,8,12,7,12.62857143,3
1,9991,27,9,3,10.66666667,5,7,4,11.4,2
1,9238,19,11,5,11.2,6,13,5,11.6,3
1,9773,18,6,6,12.66666667,6,6,6,11.83333333,1
0,9670,34,7,4,13.5,6,6,0,0,1
1,9147,18,9,3,11.66666667,5,15,2,11,2
1,9147,18,8,2,10.5,5,7,3,12.33333333,2
1,9500,18,8,8,14.26875,8,8,8,14.26875,2
0,9773,20,0,0,0,6,0,0,0,1
1,9147,19,8,2,10.5,5,11,3,13.33333333,2
1,9238,21,11,5,11.2,6,15,1,10,2
1,9991,26,5,5,12,5,6,5,14.83333333,3
1,9556,27,9,7,12.22857143,8,10,8,13.2125,3
1,9670,20,6,4,11.5,5,5,4,10.75,3
1,9238,18,8,6,15.375,6,7,6,16.42857143,3
0,9085,23,19,9,13.66666667,9,15,6,13.5,2
1,9500,24,11,7,12.61428571,8,11,7,12.61428571,3
1,9238,19,7,5,12.2,6,6,6,11.5,3
1,9773,19,13,4,11.75,6,10,4,11,3
1,9238,19,9,5,11.4,6,9,3,10,2
1,9238,18,10,5,10.6,6,14,2,10,2
1,8014,22,16,13,10.92307692,13,13,11,11.45454545,3
1,9070,20,6,5,12.4,6,9,5,12.4,3
1,9003,25,6,0,0,6,6,0,0,1
1,9003,21,6,6,15.83333333,6,8,6,15.5,3
1,9500,19,12,5,11.8,7,9,6,11.70833333,2
1,9773,18,7,6,12.57142857,6,6,6,13.66666667,3
1,9670,18,7,3,12,5,7,4,13.25,3
1,9500,19,8,7,13.3625,8,9,8,14.44444444,3
1,9085,19,6,5,15.4,5,5,5,16,3
0,9773,18,9,5,12.2,6,9,4,11.75,1
1,9238,20,11,11,12.81818182,11,11,11,13.54545455,3
1,9500,19,0,0,0,8,0,0,0,1
1,9500,28,21,17,13.39473684,17,19,17,13.55473684,3
1,9238,20,8,6,14.25,6,8,6,11,3
1,8014,30,19,9,13.44444444,7,7,7,14.71428571,1
1,9500,19,8,7,12.28571429,8,10,8,11.7375,3
1,9070,22,7,6,11.66666667,6,7,5,13.2,3
1,9254,18,8,6,12.16666667,6,6,6,13.5,3
1,9853,23,11,2,10,6,15,2,11,1
1,9070,18,6,6,14,6,6,6,15,3
1,9853,18,9,5,11.83333333,6,6,4,12,2
0,9773,50,7,1,15,5,12,0,0,1
1,171,19,0,0,0,0,0,0,0,3
1,9254,22,7,6,10.83333333,6,6,6,10.66666667,3
1,9238,23,7,6,13.14285714,6,6,6,14,3
0,9085,20,8,5,14.4,5,6,5,14,1
0,9238,44,0,0,0,6,0,0,0,1
1,9003,49,17,7,12,12,19,9,11.22222222,3
1,9991,46,13,9,12.2,10,12,10,12.8,3
0,9085,41,3,3,12.33333333,2,2,2,11,1
1,9500,18,8,7,11.8375,8,9,8,12.48125,3
1,9991,43,5,5,11.8,5,6,5,14,3
0,9147,70,5,0,0,5,9,0,0,1
1,9130,48,0,0,0,6,0,0,0,1
1,9003,41,19,19,12.68421053,13,13,13,12.38461538,3
1,9254,21,8,6,12.57142857,6,10,4,13,2
0,33,35,18,3,11.25,7,7,0,0,1
1,9130,44,13,4,14,5,9,4,15.5,3
1,9147,18,15,4,13.33333333,5,6,2,13.5,1
1,8014,45,7,6,13.66666667,6,6,6,13.66666667,3
1,9254,20,12,3,10,6,9,5,10.8,2
1,9003,22,12,5,12.6,6,11,6,11.71428571,3
1,9119,39,10,3,17.33333333,5,11,1,17,1
0,9085,20,10,5,13.2,6,21,3,12,2
1,9147,49,9,3,14,5,8,3,13.66666667,1
1,9556,43,4,4,13.875,1,1,1,12.5,1
1,9991,32,5,0,0,5,5,0,0,1
1,9238,47,9,9,13.11111111,7,7,7,14.85714286,3
1,9991,37,8,5,13,5,11,4,13.33333333,1
1,8014,41,10,10,12.5,7,7,7,12.14285714,3
1,9003,60,18,18,14.11111111,13,13,13,14.23076923,3
1,9254,47,11,11,14.72727273,9,9,9,15.77777778,3
0,8014,50,6,0,0,5,6,0,0,1
1,9991,45,5,0,0,5,5,0,0,1
0,9119,45,5,0,0,5,5,0,0,1
1,9085,33,7,4,13.5,5,6,5,11.6,3
1,9500,18,8,7,13.10571429,8,8,7,13.10571429,3
1,9085,43,8,5,13.5,5,5,5,14.4,3
1,8014,44,18,13,11.84615385,11,11,11,12,3
1,9130,29,5,0,0,5,5,0,0,1
0,9670,53,11,3,14.33333333,6,6,0,0,1
1,9991,37,10,5,15.8,5,5,5,17.6,2
1,9670,18,16,5,13.8,6,7,5,12.4,2
1,33,35,18,6,12.66666667,9,11,3,12,1
1,9254,23,10,6,13,6,9,6,12,2
1,171,22,0,0,0,0,0,0,0,3
0,8014,33,6,1,11,6,0,0,0,1
0,9130,41,9,0,0,5,9,0,0,1
1,9500,51,7,7,15.2,8,8,8,16.575,3
1,9670,19,7,6,14.42857143,7,8,7,14.375,3
1,9991,35,5,0,0,5,5,0,0,1
1,171,20,0,0,0,0,0,0,0,3
1,9670,18,13,4,13.75,6,8,5,11.2,2
0,9773,18,11,5,12.16666667,6,15,3,12,1
1,9003,21,12,5,12.14285714,6,11,5,11.66666667,3
1,9254,21,9,6,12,6,8,5,11.6,3
1,9147,34,10,3,11.66666667,5,7,4,12.75,3
1,9130,34,9,0,0,6,6,0,0,1
1,9670,21,10,6,11.875,6,8,5,12,3
1,9773,32,15,7,11.28571429,7,10,6,12.33333333,2
1,9254,30,17,2,10,6,15,3,11.33333333,1
1,171,19,13,11,12,11,15,10,11.18181818,2
1,9773,20,7,6,13.83333333,6,7,5,13,1
1,9070,18,0,0,0,6,0,0,0,1
1,9254,19,7,6,14.42857143,6,6,6,12.5,3
1,9500,18,8,5,14.2,7,9,6,12.4,1
1,9991,27,8,4,11.5,5,9,3,10.33333333,1
1,9773,52,7,5,13,6,6,6,15,3
0,9003,29,6,0,0,6,8,0,0,1
0,9003,22,12,3,11.33333333,6,13,2,11,1
1,9085,28,45,18,12.5,13,26,12,11.42857143,3
1,9670,30,5,0,0,5,5,0,0,1
1,9500,18,7,7,13.47142857,8,9,8,13.94444444,3
1,9670,21,5,4,11.75,5,5,3,13.33333333,3
1,9070,20,9,6,13.33333333,6,10,6,14.66666667,3
1,9500,21,8,8,13.105,8,8,8,13.105,3
0,9991,32,5,0,0,5,6,0,0,1
1,9070,20,6,6,15.5,6,7,6,12.16666667,3
0,171,19,0,0,0,0,0,0,0,1
0,9670,18,6,4,11.25,6,7,3,12.33333333,1
0,9991,23,24,12,11,14,21,11,11.36363636,1
1,9254,20,10,6,12.33333333,6,9,4,13,3
1,9147,46,18,8,11.375,5,11,5,11.8,3
1,9003,27,19,18,12.22222222,12,15,12,12.38461538,3
1,171,20,0,0,0,0,0,0,0,2
1,8014,41,11,9,12,7,8,6,12,3
1,9147,40,10,1,11,5,10,1,10,2
1,8014,37,17,16,14.125,11,14,10,13,3
1,9147,20,8,5,10.2,5,7,5,11.2,2
1,9130,20,7,4,12,5,6,4,12.4,2
1,9991,26,11,9,12.33333333,7,7,7,12.57142857,3
1,8014,54,9,9,14.33333333,7,7,7,13.85714286,3
1,9670,21,6,6,15.16666667,6,9,6,14,3
1,9085,20,8,6,15.14285714,6,8,6,15.14285714,3
1,9773,18,0,0,0,6,0,0,0,1
1,9500,19,9,6,13.41142857,8,12,7,13.29444444,2
1,9238,18,7,6,12.33333333,6,7,6,12.16666667,3
1,9085,19,13,4,11.8,6,18,4,12.2,2
1,9085,22,9,6,12,6,12,3,12,1
1,9085,19,7,6,15,6,8,6,15.625,3
1,171,21,12,8,13.875,11,13,9,12.7,1
1,9853,20,9,6,11.83333333,7,7,6,14.33333333,2
1,9773,18,6,6,12.5,6,6,6,13.83333333,3
1,9773,18,6,6,15,6,6,6,15.5,3
1,9670,20,10,2,11.66666667,6,10,4,10.5,1
1,9500,18,10,7,14.668,8,8,8,14.63375,3
1,9500,18,9,6,13.345,8,9,6,13.345,2
1,9773,20,7,5,12.8,6,6,6,12.33333333,3
1,9238,19,10,6,10.83333333,6,7,6,12.14285714,3
1,9070,18,6,6,13.66666667,6,6,5,14,3
1,9500,18,8,7,14.53714286,8,8,7,14.53714286,3
1,9085,18,5,5,14.4,5,5,5,14,1
1,171,20,0,0,0,0,0,0,0,3
1,9773,19,6,6,13.16666667,6,6,6,13.83333333,3
0,9500,36,15,2,11.5,7,9,0,0,1
1,9238,19,7,6,11.33333333,6,7,6,12.42857143,3
1,9238,18,6,6,12,6,6,5,13.6,3
1,9773,18,6,6,13.16666667,6,6,6,12.16666667,3
1,9773,18,6,6,14.83333333,6,6,6,14.16666667,3
1,9070,19,7,7,13,9,9,9,13.22222222,3
1,9500,18,8,7,13.08714286,8,8,8,12.95,3
1,9130,19,8,6,13.33333333,6,7,6,13.66666667,3
1,9853,18,7,6,12.16666667,6,10,4,12.75,2
0,9070,22,8,6,11,6,10,4,12,2
0,9238,18,0,0,0,6,0,0,0,1
1,9147,19,7,5,13.6,5,6,5,12.2,3
1,9773,18,6,6,15.5,6,6,6,14,3
1,9853,19,7,7,13.85714286,7,7,7,14.28571429,3
1,9147,20,10,2,11.5,5,8,3,10,2
1,9070,18,6,6,13,6,6,6,12.16666667,3
0,9130,23,10,6,14,6,11,4,13,2
1,9773,20,4,0,0,6,0,0,0,1
1,9070,20,6,6,11.16666667,6,9,6,11.5,2
0,9238,22,0,0,0,6,0,0,0,1
1,9853,18,8,7,12.14285714,7,9,6,13.66666667,3
1,9500,18,7,7,14.14571429,8,9,8,13.62777778,3
1,9500,18,7,7,14.45,8,9,8,14.14444444,3
1,9853,18,7,7,15.71428571,7,7,7,15,3
1,9147,21,9,5,12.8,5,11,3,12.66666667,2
1,9070,20,6,6,12.5,6,8,6,11.5,2
1,9070,18,6,6,14.5,6,6,6,12.83333333,3
0,9500,20,7,7,13.46285714,8,10,7,13.16428571,2
1,8014,25,6,6,12.83333333,6,6,6,12.83333333,3
1,9147,18,10,5,12,5,8,4,11.6,3
1,171,19,0,0,0,0,0,0,0,3
1,9085,20,9,6,14.71428571,7,16,6,13.2,2
1,9238,20,7,6,12.57142857,6,7,6,13.28571429,3
1,9773,21,6,6,12.5,6,6,6,11.5,3
1,9670,18,8,6,14,6,9,5,14,3
1,9853,18,8,7,11.57142857,7,9,6,13.16666667,1
1,9070,18,6,6,15.83333333,6,6,6,15.33333333,3
1,9500,18,8,8,14.25,8,8,8,14.25,3
1,9670,19,0,0,0,6,0,0,0,1
1,9254,20,8,6,11.66666667,6,10,6,11,1
1,9238,47,12,0,0,5,10,0,0,1
1,9130,21,9,5,13.2,5,7,2,12.5,2
1,9130,31,11,2,12,6,12,1,10,1
1,9119,46,6,0,0,5,5,0,0,1
1,9119,18,9,4,12,5,10,2,11,2
1,9119,19,10,3,13.33333333,5,9,4,10.75,1
1,9556,23,11,5,12.41428571,7,13,2,13.5,2
0,9130,22,5,0,0,5,5,0,0,1
1,9147,19,5,5,13.8,5,7,5,12.4,3
0,9147,19,14,0,0,5,5,0,0,1
0,9147,22,10,4,11.5,5,11,4,14,2
0,9130,29,11,0,0,5,6,0,0,1
1,9500,18,7,6,14.01666667,7,7,6,14.01666667,3
1,9238,18,9,5,11.4,6,8,5,10.8,3
0,171,23,0,0,0,0,0,0,0,1
1,9991,34,12,5,10.4,5,11,5,12,3
1,9147,19,11,3,10.66666667,5,9,4,10.25,3
1,9085,18,9,4,14.25,5,8,5,12.71428571,2
1,9500,20,7,7,13.91428571,8,8,8,14.10625,3
1,9500,19,9,7,13.76111111,8,11,7,12.82375,3
1,9853,22,10,5,12.6,6,9,4,11.25,2
1,9238,23,7,6,13.85714286,6,6,6,14.16666667,3
1,9500,34,8,7,13.84285714,8,8,7,13.84285714,3
0,9119,18,12,0,0,5,8,0,0,2
1,9773,21,6,5,11.8,6,9,0,0,1
1,9238,22,6,6,12.66666667,6,6,6,13.83333333,1
1,9003,28,6,0,0,6,6,0,0,1
1,9119,23,7,0,0,5,5,0,0,1
1,9773,20,11,4,10.75,6,13,2,10,1
1,9119,18,7,5,12.6,5,9,3,13.25,1
0,9147,28,5,0,0,5,5,0,0,1
1,9070,21,7,2,12,9,10,7,12.14285714,1
0,9670,25,7,3,14,6,9,2,14.5,1
0,9085,19,6,6,14,6,11,6,13.5,1
1,9500,18,7,7,14.68285714,8,9,8,15.05555556,3
1,9119,29,3,0,0,5,0,0,0,1
1,9119,29,6,0,0,5,7,0,0,1
1,9254,20,7,6,13.85714286,6,7,5,12.8,3
1,171,18,0,0,0,0,0,0,0,3
1,9254,20,8,6,13.14285714,6,7,6,12.5,3
1,9119,33,14,1,18,5,9,2,13,1
1,9991,30,15,13,11.46153846,11,15,10,11.58333333,3
1,9556,21,14,5,11.2,8,11,6,11.58333333,2
1,9003,18,6,5,15,6,8,4,14.5,3
1,9500,19,9,7,14.24444444,8,12,8,12.23333333,3
1,9070,21,8,4,11.5,6,7,5,11,1
1,9556,25,7,2,10,7,7,0,0,1
1,9670,19,7,3,12.33333333,5,5,5,11.6,3
1,9070,23,8,5,12.2,9,10,7,12.14285714,1
1,9070,19,6,6,13.66666667,6,7,5,13.2,3
1,171,19,0,0,0,0,0,0,0,3
0,9003,31,15,1,11,6,10,0,0,1
0,9003,32,8,3,13,10,14,6,11.42857143,1
1,9500,19,12,7,12.6,8,12,7,12.6,3
1,9773,34,11,10,12.2,10,12,9,12.33333333,3
1,9773,21,6,6,13.16666667,6,6,6,13,3
1,9238,53,16,6,11,7,9,7,11,3
1,9500,19,7,7,14.01428571,8,8,8,15.35,3
1,9773,20,9,4,13,6,13,4,11.25,3
1,9773,18,6,6,14,6,6,6,14.66666667,3
0,171,32,0,0,0,0,0,0,0,1
1,9500,21,8,7,14.42857143,8,8,7,14.42857143,3
0,8014,26,9,0,0,5,10,0,0,1
1,9085,26,45,18,11.83333333,13,27,13,12.46153846,3
0,9991,21,12,3,11.33333333,5,10,1,13,1
1,9773,18,9,6,12.5,6,9,6,13,3
1,9070,21,12,12,13.33333333,12,12,11,12.54545455,3
1,9254,21,10,6,10.83333333,6,10,4,11,2
1,9670,19,6,6,13,6,6,6,14,3
1,9147,19,7,2,10,5,11,2,14,1
1,9238,19,8,6,11.42857143,6,11,5,11.2,3
1,9500,27,8,8,12.8875,8,8,8,12.8875,3
1,9500,18,7,6,12.95,7,7,6,12.95,3
1,9147,20,12,1,10,5,5,0,0,1
1,9500,19,7,7,13.09428571,8,8,8,12.55,3
1,9670,20,7,0,0,6,6,0,0,1
1,9238,19,12,5,11.71428571,6,11,6,11,3
1,9238,20,8,4,11.25,6,15,3,10,2
1,171,20,0,0,0,0,0,0,0,1
1,9853,18,6,6,13.16666667,6,6,6,13.33333333,3
1,9085,20,7,4,12.75,5,5,5,13.4,3
0,9991,38,6,5,10.6,5,9,2,11,1
1,8014,42,8,5,11.2,6,6,6,12,3
1,9500,32,0,0,0,8,0,0,0,1
1,9773,22,6,6,13,6,6,6,13.66666667,3
1,9991,28,10,0,0,5,5,0,0,1
1,8014,37,0,0,0,6,0,0,0,1
1,9003,43,8,6,14.16666667,6,9,6,15,3
1,8014,41,10,5,12.83333333,6,6,6,12.33333333,3
1,8014,29,11,4,11.75,6,9,5,10.4,3
1,8014,35,8,6,10.83333333,6,7,6,11.5,3
1,9238,18,8,4,11.75,6,8,4,12.25,1
0,9500,39,14,3,11.5,7,9,2,10.5,1
1,9991,37,14,2,10,5,7,3,11.33333333,2
1,9500,26,7,6,13.7,7,7,6,13.7,3
1,9085,32,8,1,14,5,12,0,0,1
1,8014,37,12,7,11.375,7,10,6,12.16666667,2
1,9085,28,17,0,0,6,6,0,0,2
1,9238,19,10,0,0,6,0,0,0,1
1,9147,18,9,1,11,5,9,2,12.5,2
1,9853,19,10,6,13,7,7,7,13.28571429,3
1,9670,32,15,8,13.6,8,10,8,15.11111111,3
1,9147,31,8,3,11,5,9,2,11.5,1
1,9500,34,11,7,11.70571429,8,11,7,11.70571429,2
1,171,20,12,12,13.25,11,14,11,14.33333333,3
1,9500,28,15,1,10.75,7,10,1,10,1
1,9991,31,8,6,12,7,8,7,13.42857143,2
1,9773,18,7,6,12.66666667,6,8,4,12.25,2
0,8014,31,8,5,11.4,6,9,3,11,1
1,9773,19,6,6,13,6,8,5,12.4,3
1,9238,19,8,6,14,6,8,6,12.28571429,3
1,9238,31,11,0,0,5,10,0,0,2
1,9085,34,0,0,0,6,0,0,0,1
1,9556,18,7,7,15.28571429,8,8,8,16.075,3
1,9254,18,6,6,13.16666667,6,6,6,12.66666667,3
1,9147,19,7,5,13.6,5,11,5,12.83333333,3
0,9773,22,8,0,0,4,8,0,0,1
1,9670,32,12,10,11.4,9,9,4,11.5,3
1,9147,61,0,0,0,5,0,0,0,1
1,9991,30,7,5,11,5,5,5,11.6,3
0,9991,45,9,0,0,5,11,0,0,1
1,9003,20,7,6,13.57142857,6,6,6,12.66666667,3
1,9500,19,0,0,0,8,0,0,0,1
1,9119,26,14,4,11.25,11,11,4,12,1
1,9670,19,6,3,13.33333333,5,5,1,11,1
1,9773,19,6,6,12,6,7,6,11.66666667,3
1,9773,19,6,6,12.5,6,7,5,13,3
1,9147,19,6,5,13.2,5,6,5,12.66666667,3
0,9670,19,5,0,0,4,4,0,0,1
0,9670,28,7,3,11.66666667,5,8,2,11.5,1
1,9147,24,16,15,13.46666667,14,14,14,13.64285714,3
1,9130,18,7,3,13.66666667,5,5,5,13.2,3
1,9119,18,9,2,11.66666667,5,9,2,12.5,2
1,9773,18,7,6,11.66666667,6,12,5,10.2,3
1,9003,21,9,5,13.4,6,9,5,12.4,3
0,9991,28,5,0,0,5,6,0,0,1
1,9003,58,9,0,0,6,6,0,0,1
0,9991,49,5,0,0,5,5,0,0,1
1,9119,24,6,3,10.66666667,5,9,2,10.5,2
1,9670,25,5,4,13.75,5,5,4,14.75,3
1,9147,33,5,1,10,5,5,0,0,1
0,9119,33,11,0,0,5,5,0,0,1
1,9853,40,4,1,16,4,5,4,15.5,3
1,9991,48,9,5,12.28571429,5,8,5,11.125,3
0,9119,18,10,3,12,5,8,3,10.33333333,2
1,9500,24,7,6,12.66666667,7,7,6,12.66666667,3
1,9085,23,6,5,11.8,5,7,4,13.25,3
0,9991,39,6,5,10.6,5,7,5,14.66666667,1
1,9003,21,16,9,11.9,9,14,8,12.25,3
1,9119,34,8,4,11.25,5,8,2,10.5,1
1,9991,41,9,4,11,5,6,5,11.4,2
1,9773,18,6,6,12,6,6,6,12.5,3
1,9991,34,10,4,11.75,5,10,4,10.83333333,2
1,9147,19,8,2,10,5,8,1,16,1
1,9500,19,8,7,13.71428571,8,8,7,13.71428571,3
1,9003,28,14,6,14.875,6,12,6,15.8,3
1,9070,18,7,5,10.8,6,6,0,0,1
1,9238,19,11,3,12,6,12,2,10,1
0,9085,19,10,5,12.5,6,19,2,13.5,1
1,9500,18,7,7,14.72857143,8,11,8,16.32727273,3
1,9130,18,8,6,12,6,8,5,14.8,3
1,9773,18,8,6,11.42857143,6,7,6,11,1
1,9238,19,6,6,14.16666667,6,6,6,13.5,3
1,9238,31,12,5,12.5,6,10,5,14.6,3
1,8014,33,6,6,14.16666667,6,6,6,14.33333333,3
1,9500,20,10,5,14.46,7,8,6,13.55,2
1,9085,22,12,5,12.8,6,19,2,11.5,2
1,9254,19,8,6,12.66666667,6,8,5,13.4,3
1,9070,18,6,6,12.5,6,6,6,13,1
1,9070,18,0,0,0,6,0,0,0,1
0,9670,18,0,0,0,6,0,0,0,1
1,171,18,0,0,0,0,0,0,0,3
1,9147,19,8,5,11.2,5,5,3,11,3
1,9238,18,6,6,16.5,6,7,6,17.42857143,1
1,9085,18,9,3,13.66666667,5,5,5,12,3
1,9500,18,8,7,15.22857143,8,8,7,15.22857143,3
1,9238,21,10,9,12.77777778,9,9,9,13.22222222,3
1,9500,18,8,7,14.42857143,8,8,7,14.42857143,3
1,9670,18,8,6,13.875,6,7,6,13.71428571,3
1,9500,18,10,7,13.128,8,13,6,13.19333333,3
1,9500,20,9,6,11.605,8,10,7,12.4125,3
1,9147,18,5,5,14.6,5,8,5,12,3
1,9773,18,0,0,0,6,0,0,0,1
1,9147,20,6,5,11.8,5,6,5,11.6,3
1,9254,20,6,6,12.33333333,6,6,6,12.33333333,3
1,9147,19,5,4,11,5,5,0,0,1
1,9070,19,11,11,13.18181818,11,11,11,12.90909091,3
0,9670,18,6,1,11,6,0,0,0,1
